Model;Optimizer;Activation;Camadas;Accuracy;Loss;Precision;Recall
ResNet;Adam;relu;3;0.27140000462532043;1.7451077699661255;0.24791748276443432;0.2714
ResNet;Adam;relu;4;0.30799999833106995;1.740004062652588;0.2839677287890943;0.308
ResNet;Adam;relu;5;0.32710000872612;1.680298089981079;0.3398163628551695;0.3271
ResNet;Adam;sigmoid;3;0.801800012588501;0.7714834809303284;0.8027863142955083;0.8018
ResNet;Adam;sigmoid;4;0.7695000171661377;0.749897837638855;0.7900977206205734;0.7695
ResNet;Adam;sigmoid;5;0.7541000247001648;0.7937552332878113;0.7676396422978758;0.7541
ResNet;Adam;softmax;3;0.32989999651908875;1.6243677139282227;0.2889069626660144;0.3299
ResNet;Adam;softmax;4;0.32679998874664307;1.6670267581939697;0.27604586924383334;0.3268
ResNet;Adam;softmax;5;0.10000000149011612;2.3026089668273926;0.01;0.1
ResNet;rmsprop;relu;3;0.19789999723434448;2.275465488433838;0.1467969090378985;0.1979
ResNet;rmsprop;relu;4;0.265500009059906;3.1989541053771973;0.2688486533689148;0.2655
ResNet;rmsprop;relu;5;0.18469999730587006;3.8046507835388184;0.1838869180974988;0.1847
ResNet;rmsprop;sigmoid;3;0.7213000059127808;0.9082964062690735;0.7312857671951999;0.7213
ResNet;rmsprop;sigmoid;4;0.7760000228881836;0.8126669526100159;0.7820659084012065;0.776
ResNet;rmsprop;sigmoid;5;0.7159000039100647;1.0236852169036865;0.7532104429604716;0.7159
ResNet;rmsprop;softmax;3;0.27649998664855957;1.7950439453125;0.2269112536676525;0.2765
ResNet;rmsprop;softmax;4;0.290800005197525;1.7342736721038818;0.24573318297858035;0.2908
ResNet;rmsprop;softmax;5;0.10000000149011612;2.3026113510131836;0.01;0.1
EfficientNet;Adam;relu;3;0.4975999891757965;1.3496190309524536;0.48076449704244406;0.4976
EfficientNet;Adam;relu;4;0.4814999997615814;1.3180991411209106;0.45840345590287834;0.4815
EfficientNet;Adam;relu;5;0.34619998931884766;1.63667631149292;0.2984995171412554;0.3462
EfficientNet;Adam;sigmoid;3;0.8285999894142151;0.5265958905220032;0.827148670023194;0.8286
EfficientNet;Adam;sigmoid;4;0.8360000252723694;0.5469297766685486;0.836064145911272;0.836
EfficientNet;Adam;sigmoid;5;0.8306999802589417;0.563657283782959;0.8376254783343351;0.8307
EfficientNet;Adam;softmax;3;0.43630000948905945;1.4777966737747192;0.3997218233508971;0.4363
EfficientNet;Adam;softmax;4;0.2524999976158142;1.7703428268432617;0.16429131024395674;0.2525
EfficientNet;Adam;softmax;5;0.10000000149011612;2.3026206493377686;0.01;0.1
EfficientNet;rmsprop;relu;4;0.5616000294685364;2.5793612003326416;0.5653106880973015;0.5616
EfficientNet;rmsprop;relu;5;0.44929999113082886;2.9807543754577637;0.4650029374977865;0.4493
EfficientNet;rmsprop;sigmoid;3;0.8328999876976013;0.5827333331108093;0.8364332816042466;0.8329
EfficientNet;rmsprop;sigmoid;4;0.8119000196456909;0.6069896221160889;0.8143710903251453;0.8119
EfficientNet;rmsprop;sigmoid;5;0.8108000159263611;0.6106390357017517;0.8164606156801414;0.8108
EfficientNet;rmsprop;softmax;3;0.5461999773979187;1.2066140174865723;0.48294985291864206;0.5462
EfficientNet;rmsprop;softmax;4;0.3472000062465668;1.5193085670471191;0.2658508740152131;0.3472
EfficientNet;rmsprop;softmax;5;0.10000000149011612;2.302611827850342;0.01;0.1
